id,employee__id,department,performance_score,year_with_company,salary
263,263,Finance,45.83,13,106459.23
264,264,HR,66.94,0,180578.21
265,265,Operations,26.64,41,68580.81
266,266,Marketing,65.58,11,146705.17
267,267,Operations,21.11,27,195770.01
268,268,Finance,20.78,2,167040.92
269,269,Marketing,42.43,41,190923.05
270,270,HR,4.85,36,51854.67
271,271,IT,54.89,27,171733.15
272,272,Marketing,59.71,12,25698.14
273,273,IT,89.44,12,138465.86
274,274,IT,76.24,9,188643.82
275,275,HR,85.96,28,132745.68
276,276,HR,95.4,41,28983.46
277,277,Marketing,12.61,27,142948.11
278,278,HR,25.89,3,149563.68
279,279,Marketing,6.01,41,197754.83
280,280,Marketing,57.84,42,41956.8
281,281,Marketing,22.75,10,96583.91
282,282,HR,46.46,3,95191.49
283,283,Operations,71.51,3,59550.16
284,284,Operations,47.81,25,92697.95
285,285,Operations,49.5,26,89945.13
286,286,Operations,57.09,29,151832.05
287,287,Marketing,50.83,2,176634.84
288,288,Marketing,25.14,0,115982.39
289,289,IT,41.05,40,51749.83
290,290,Operations,79.55,9,79610.52
291,291,Marketing,32.73,47,99181.5
292,292,HR,22.59,49,49256.0
293,293,Finance,5.35,47,174429.46
294,294,HR,83.72,26,90888.89
295,295,Finance,69.54,32,139131.78
296,296,IT,50.46,12,171182.36
297,297,Finance,75.82,44,97613.35
298,298,Finance,65.61,14,34286.57
299,299,IT,52.62,44,34842.05
300,300,IT,82.94,28,127955.45
301,301,HR,2.63,40,187130.58
302,302,HR,48.39,23,36865.38
303,303,Marketing,89.01,3,81905.39
304,304,Operations,50.11,39,101735.95
305,305,IT,77.16,24,146632.92
306,306,IT,34.83,46,108931.22
307,307,Finance,31.38,5,59347.86
308,308,Finance,18.85,34,93458.55
309,309,Operations,77.51,38,163913.91
310,310,Marketing,89.14,27,95685.48
311,311,Finance,62.01,27,42001.43
312,312,IT,52.33,20,60803.11
313,313,Operations,9.82,16,193878.57
314,314,Marketing,63.77,42,143516.82
315,315,Finance,86.64,5,165189.54
316,316,Finance,22.15,11,137556.82
317,317,Finance,70.07,16,140247.95
318,318,IT,6.27,23,78046.79
319,319,Marketing,67.93,29,24760.32
320,320,IT,16.94,19,32521.44
321,321,Marketing,56.64,9,44193.64
322,322,Finance,38.2,36,138306.6
323,323,Operations,8.77,2,39566.72
324,324,Finance,10.84,3,51895.21
325,325,Operations,28.04,50,84015.47
326,326,Marketing,13.9,22,70554.48
327,327,Marketing,86.24,1,60614.21
328,328,Marketing,16.18,43,173336.74
329,329,Operations,98.55,47,140249.66
330,330,IT,23.75,33,96212.48
331,331,Finance,57.86,49,194281.73
332,332,Marketing,100.0,31,91245.93
333,333,Operations,24.4,42,25860.08
334,334,Operations,56.49,14,129169.43
335,335,Marketing,10.99,34,142585.86
336,336,IT,27.41,50,41883.28
337,337,Finance,80.43,42,32516.39
338,338,HR,19.08,21,181801.77
339,339,IT,41.05,19,87835.51
340,340,Finance,76.43,21,51402.81
341,341,Operations,67.12,13,101335.05
342,342,Finance,16.75,1,122439.95
343,343,IT,88.34,4,71919.84
344,344,HR,50.58,33,97724.51
345,345,Operations,44.55,2,87117.57
346,346,Operations,90.69,2,173951.95
347,347,Marketing,57.21,41,151888.82
348,348,Marketing,14.15,37,120326.4
349,349,Finance,48.46,44,115442.83
350,350,Marketing,1.35,28,192620.09
351,351,IT,35.09,15,169563.72
352,352,Marketing,37.98,35,174942.01
353,353,IT,5.43,28,22106.47
354,354,Marketing,40.07,13,151313.58
355,355,Marketing,98.38,6,131259.18
356,356,Marketing,47.66,17,192327.81
357,357,Operations,41.91,14,70858.43
358,358,HR,66.52,32,171727.74
359,359,Operations,86.36,1,74111.98
360,360,Operations,96.54,43,109685.5
361,361,Finance,49.0,42,41237.02
362,362,IT,85.09,30,118280.65
363,363,HR,15.34,50,142284.08
364,364,Marketing,39.77,5,170637.12
365,365,Operations,17.35,3,94283.91
366,366,IT,30.59,9,189355.19
367,367,Operations,7.25,23,133892.0
368,368,Operations,79.8,20,25798.0
369,369,Marketing,40.59,42,101559.17
370,370,Marketing,91.05,17,96293.64
371,371,HR,54.29,24,21792.33
372,372,HR,80.23,11,38377.29
373,373,Operations,98.84,33,44022.1
374,374,HR,36.33,3,129368.7
375,375,HR,45.58,45,184347.26
376,376,Finance,24.04,24,78144.15
377,377,Finance,72.52,6,79972.61
378,378,HR,10.73,27,87345.72
379,379,HR,39.28,0,178280.4
380,380,Marketing,6.85,13,168606.27
381,381,Marketing,3.26,41,114165.92
382,382,Marketing,77.51,28,69539.97
383,383,Operations,78.09,20,153989.65
384,384,Marketing,10.42,6,146804.71
385,385,Operations,43.54,10,30191.19
386,386,Finance,47.7,13,121259.82
387,387,HR,81.47,8,190823.5
388,388,Finance,23.52,29,28044.75
389,389,Finance,25.29,5,26223.47
390,390,Marketing,4.82,13,134118.25
391,391,IT,47.31,28,195223.35
392,392,HR,20.8,45,148832.21
393,393,Finance,13.28,5,68196.45
394,394,Operations,66.17,11,42010.29
395,395,Operations,19.39,5,182908.13
396,396,Finance,24.26,5,51503.33
397,397,Operations,91.32,6,40990.94
398,398,Operations,65.32,21,32336.74
399,399,Operations,92.71,30,198026.91
400,400,Operations,8.68,18,162880.35
401,401,IT,0.61,28,21765.09
402,402,Finance,94.78,3,135333.61
403,403,Finance,18.33,31,107136.5
404,404,Marketing,38.01,33,148266.04
405,405,Operations,77.24,50,155131.47
406,406,Marketing,12.16,6,159075.36
407,407,Marketing,9.35,40,74155.18
408,408,Finance,43.31,36,55900.93
409,409,IT,0.8,39,55937.01
410,410,Marketing,60.94,49,170008.27
411,411,Marketing,79.38,27,32058.22
412,412,IT,66.15,37,56055.62
413,413,HR,17.81,32,101903.47
414,414,Finance,6.78,6,159783.5
415,415,Marketing,74.59,43,51742.02
416,416,HR,28.95,47,59980.9
417,417,Operations,7.56,30,129180.41
418,418,Marketing,66.87,26,98342.54
419,419,Operations,75.64,3,198936.1
420,420,Finance,0.6,34,45904.22
421,421,Operations,40.59,14,53651.07
422,422,Operations,54.58,30,102088.49
423,423,Operations,3.74,37,189389.47
424,424,Finance,91.23,19,178334.23
425,425,Marketing,19.58,32,51712.37
426,426,IT,7.16,21,151808.69
427,427,Operations,85.77,9,50277.32
428,428,IT,57.54,7,189973.21
429,429,Operations,94.99,4,143130.7
430,430,Operations,1.32,12,95485.45
431,431,IT,34.23,6,98753.47
432,432,IT,5.31,49,60904.19
433,433,HR,26.01,38,181274.23
434,434,Finance,55.87,7,59964.21
435,435,Operations,64.45,4,55813.4
436,436,Finance,37.18,9,99055.52
437,437,Operations,85.66,33,199154.99
438,438,Marketing,30.59,8,31626.3
439,439,Operations,57.02,2,199420.34
440,440,Finance,82.1,1,182334.72
441,441,IT,56.97,5,175560.63
442,442,Finance,53.71,32,121744.44
443,443,Operations,7.28,38,41171.74
444,444,Finance,11.48,31,171407.49
445,445,IT,36.57,45,161541.21
446,446,Marketing,42.78,38,109932.71
447,447,IT,79.56,11,190321.83
448,448,Marketing,10.88,34,150898.31
449,449,IT,81.87,1,93804.48
450,450,Finance,64.56,50,33542.7
451,451,IT,10.07,46,53866.3
452,452,Marketing,7.59,19,152823.32
453,453,Marketing,47.19,28,118670.37
454,454,Operations,10.34,35,188766.73
455,455,Finance,85.87,0,154500.21
456,456,IT,7.18,6,72842.77
457,457,IT,84.38,38,195491.04
458,458,HR,32.37,14,154360.43
459,459,Finance,16.76,37,175903.52
460,460,IT,63.98,32,63960.0
461,461,HR,92.54,0,137133.66
462,462,IT,18.11,50,113868.75
463,463,Operations,66.96,0,143985.47
464,464,IT,66.97,10,135332.92
465,465,IT,48.07,36,24121.09
466,466,IT,26.22,11,31239.51
467,467,Finance,95.59,12,90970.95
468,468,IT,64.26,34,146675.54
469,469,IT,44.16,8,172547.89
470,470,Marketing,84.31,12,76096.75
471,471,Finance,59.2,13,150244.86
472,472,Marketing,29.09,14,95291.89
473,473,Finance,33.59,16,146338.15
474,474,Marketing,60.71,1,49595.84
475,475,Marketing,68.06,25,100104.46
476,476,Operations,55.34,30,182692.0
477,477,Operations,73.43,50,107737.02
478,478,HR,94.46,12,112341.51
479,479,IT,25.56,12,195848.79
480,480,HR,68.59,19,41789.54
481,481,Operations,15.73,18,135036.17
482,482,IT,22.64,41,173659.92
483,483,Finance,59.11,36,99432.18
484,484,Marketing,73.44,16,82720.42
485,485,Finance,61.05,44,81767.34
486,486,IT,39.5,39,199762.0
487,487,HR,21.1,48,146292.46
488,488,IT,56.17,19,89549.8
489,489,Marketing,58.72,1,142882.12
490,490,Finance,17.52,27,42113.87
491,491,IT,83.56,13,187556.91
492,492,HR,28.8,13,83974.32
493,493,HR,38.39,26,31273.14
494,494,Finance,81.48,27,183478.65
495,495,Marketing,66.64,43,193937.82
496,496,Finance,60.18,35,90720.72
497,497,Finance,25.48,33,182434.91
498,498,Marketing,27.19,48,79947.22
499,499,HR,28.43,46,43360.58
500,500,IT,1.9,15,65613.19
501,501,Finance,62.98,16,148378.17
502,502,IT,33.15,2,165420.21
503,503,IT,57.69,24,170171.88
504,504,Operations,40.48,18,48495.6
505,505,Finance,37.35,33,64179.82
506,506,Marketing,36.97,9,197633.53
507,507,Operations,61.46,35,83248.24
508,508,HR,60.72,30,116104.58
509,509,Operations,88.61,2,82098.66
510,510,Marketing,33.7,38,74223.52
511,511,Operations,13.37,18,41287.82
512,512,IT,90.86,14,140175.32
513,513,IT,61.32,5,160551.09
514,514,IT,87.61,17,137867.94
515,515,Finance,85.98,6,134844.75
516,516,Marketing,79.4,38,95609.41
517,517,HR,49.93,37,107298.67
518,518,Finance,41.36,17,103069.58
519,519,HR,83.34,21,130566.02
520,520,HR,87.23,8,140114.62
521,521,Finance,48.89,40,153525.98
522,522,Marketing,31.4,39,143454.76
523,523,Marketing,27.55,14,145316.45
524,524,Finance,42.61,27,196934.82
525,525,Operations,30.87,17,26139.37
526,526,IT,37.6,38,185133.38
527,527,IT,96.02,15,173848.26
528,528,HR,51.19,47,70299.77
529,529,Finance,86.46,40,161820.74
530,530,IT,6.55,3,122549.19
531,531,Marketing,98.4,50,179735.0
532,532,Marketing,7.52,41,134879.21
533,533,IT,44.52,28,106243.15
534,534,Operations,10.97,36,65197.19
535,535,HR,23.67,4,162568.06
536,536,Finance,12.71,4,173906.16
537,537,Marketing,24.99,43,110544.66
538,538,Marketing,51.18,47,58181.82
539,539,IT,72.73,34,130807.52
540,540,IT,60.79,28,86577.9
541,541,Operations,99.25,43,179578.41
542,542,HR,41.9,32,25379.82
543,543,HR,73.8,24,154981.74
544,544,Finance,26.67,31,51587.23
545,545,IT,24.77,18,130185.52
546,546,Marketing,1.52,47,175288.31
547,547,Operations,95.35,44,185840.07
548,548,Marketing,55.42,12,51619.58
549,549,Marketing,32.67,22,133696.04
550,550,IT,62.93,16,55818.87
551,551,Finance,41.5,37,130553.4
552,552,HR,69.58,25,182707.15
553,553,Finance,64.2,33,94110.2
554,554,Finance,74.64,25,54908.01
555,555,Marketing,57.85,11,26849.73
556,556,Finance,97.8,32,45016.66
557,557,Finance,15.29,11,97872.71
558,558,IT,48.03,21,23494.13
559,559,Operations,92.0,10,169117.56
560,560,IT,68.55,11,73845.27
561,561,Marketing,1.92,45,20810.86
562,562,HR,59.98,20,82588.74
563,563,Marketing,40.6,35,115362.91
564,564,Finance,87.82,33,185881.37
565,565,Operations,40.87,7,38612.97
566,566,Marketing,99.52,25,43339.28
567,567,IT,62.22,14,43390.88
568,568,HR,0.71,6,73424.25
569,569,Operations,13.13,2,185253.52
570,570,IT,15.04,16,151585.93
571,571,Finance,94.96,43,174429.42
572,572,Marketing,85.55,6,146298.58
573,573,Operations,9.13,22,27368.51
574,574,Finance,62.31,6,142528.94
575,575,IT,80.42,26,96247.06
576,576,HR,10.31,25,115501.85
577,577,Operations,9.35,46,127058.86
578,578,Operations,68.96,20,57626.05
579,579,Marketing,97.55,35,20619.78
580,580,Marketing,48.18,45,177241.26
581,581,Finance,76.6,7,63180.65
582,582,HR,20.65,14,150670.89
583,583,Finance,43.17,19,52175.43
584,584,HR,19.32,18,127662.29
585,585,Finance,7.37,9,190516.87
586,586,Marketing,72.36,11,126971.71
587,587,Marketing,20.01,18,56920.48
588,588,Marketing,86.41,38,124645.72
589,589,Operations,29.92,6,129399.18
590,590,IT,53.42,26,114980.73
591,591,Marketing,69.0,41,135167.98
592,592,Marketing,28.41,20,59558.33
593,593,Operations,69.74,10,103718.1
594,594,Operations,41.51,24,133430.37
595,595,Operations,77.72,45,57852.47
596,596,Operations,29.67,35,138119.76
597,597,Operations,50.16,2,144040.3
598,598,HR,91.79,19,177037.6
599,599,Finance,39.7,14,51721.67
600,600,Finance,73.21,5,119407.94
601,601,Marketing,17.38,27,147706.29
602,602,Operations,31.68,24,119904.16
603,603,IT,31.79,22,49844.66
604,604,Finance,45.76,43,148625.47
605,605,HR,9.99,32,114987.08
606,606,Marketing,21.03,7,48745.35
607,607,HR,52.47,33,55222.28
608,608,HR,10.53,2,22107.2
609,609,Finance,5.98,50,50650.32
610,610,Operations,28.45,15,172689.63
611,611,Finance,32.71,13,75612.86
612,612,Marketing,41.36,45,106170.27
613,613,Operations,27.41,25,140108.27
614,614,HR,67.1,49,94004.99
615,615,IT,35.0,44,176121.64
616,616,IT,26.74,26,131257.43
617,617,Operations,65.41,21,67165.32
618,618,Marketing,86.41,34,113598.37
619,619,HR,41.62,23,115973.29
620,620,Operations,81.62,40,136499.97
621,621,Marketing,93.88,5,65647.35
622,622,Operations,98.58,34,67307.84
623,623,IT,71.96,11,170585.43
624,624,Marketing,71.86,33,175754.8
625,625,IT,38.12,35,60977.63
626,626,Operations,63.34,47,103470.87
627,627,IT,16.88,3,178380.68
628,628,IT,49.33,3,58509.52
629,629,IT,34.2,43,44982.99
630,630,HR,12.38,5,74038.61
631,631,HR,44.84,1,194511.95
632,632,Finance,7.34,38,143924.02
633,633,HR,94.09,49,153739.41
634,634,Marketing,90.2,15,109967.74
635,635,Marketing,88.36,29,186315.2
636,636,Operations,95.46,36,33012.15
637,637,Marketing,17.49,36,125736.96
638,638,IT,90.56,44,172079.51
639,639,Finance,29.49,31,111969.04
640,640,Finance,91.51,7,121247.94
641,641,IT,30.07,29,25586.6
642,642,HR,10.54,16,110425.9
643,643,IT,13.67,25,158587.07
644,644,IT,18.25,31,157969.56
645,645,IT,45.49,42,184063.25
646,646,IT,80.59,10,165469.26
647,647,Operations,89.13,4,43068.85
648,648,IT,98.18,37,23340.87
649,649,Finance,28.13,18,180122.61
650,650,Marketing,25.39,23,75978.29
651,651,IT,44.44,44,91229.8
652,652,Marketing,17.45,20,93299.49
653,653,Marketing,46.16,28,77214.25
654,654,Finance,60.2,9,91916.45
655,655,Marketing,72.56,16,131241.2
656,656,Marketing,10.56,42,77877.85
657,657,Finance,8.22,12,124773.44
658,658,HR,68.63,27,39061.09
659,659,Operations,89.64,22,46225.4
660,660,HR,16.03,7,47016.4
661,661,HR,6.59,24,174426.16
662,662,Operations,64.17,48,42280.52
663,663,HR,60.36,41,23348.88
664,664,Marketing,16.97,38,180596.41
665,665,Finance,11.16,33,156270.44
666,666,Marketing,69.69,31,31903.11
667,667,IT,28.58,31,121044.01
668,668,Marketing,43.79,41,172701.46
669,669,HR,97.05,42,78043.16
670,670,Finance,32.1,21,37196.67
671,671,HR,68.19,40,105389.58
672,672,Marketing,31.41,33,52237.25
673,673,IT,62.48,20,20517.51
674,674,HR,21.45,3,149098.92
675,675,Operations,36.78,30,134542.82
676,676,Marketing,63.19,40,143288.48
677,677,HR,67.59,34,22288.5
678,678,Marketing,93.13,29,75766.04
679,679,Marketing,75.14,24,75695.74
680,680,IT,58.42,47,190796.54
681,681,Finance,93.28,45,136230.99
682,682,Marketing,58.03,24,33678.95
683,683,IT,37.13,16,39007.32
684,684,Marketing,18.37,44,133460.52
685,685,Operations,99.1,1,21713.62
686,686,Finance,22.96,12,192370.79
687,687,Operations,26.76,20,39214.87
688,688,Operations,46.07,34,53333.38
689,689,Finance,77.51,44,45784.75
690,690,Operations,16.32,30,58247.32
691,691,Finance,11.95,8,196324.62
692,692,IT,35.45,6,115252.56
693,693,Finance,40.82,30,136264.01
694,694,Operations,44.7,9,94750.18
695,695,IT,83.94,50,125483.18
696,696,HR,1.99,11,127161.26
697,697,Operations,77.1,44,132947.61
698,698,Operations,53.69,32,191890.69
699,699,Marketing,14.46,10,32426.26
700,700,Operations,60.21,19,20325.93
701,701,IT,36.24,18,40291.52
702,702,HR,74.78,22,182231.13
703,703,Marketing,86.97,49,69802.21
704,704,IT,28.56,3,49126.35
705,705,Finance,76.21,21,98212.63
706,706,Finance,52.77,43,163717.97
707,707,IT,80.16,48,178329.71
708,708,HR,12.32,35,150288.22
709,709,Finance,84.92,4,60833.71
710,710,Operations,89.86,14,36921.06
711,711,Marketing,12.88,5,76359.19
712,712,IT,9.9,24,158044.01
713,713,IT,91.3,44,167377.9
714,714,Marketing,71.49,34,170255.94
715,715,HR,18.03,15,125457.19
716,716,HR,68.53,46,139673.2
717,717,Operations,75.19,41,29139.32
718,718,Finance,27.23,35,176493.28
719,719,IT,73.91,11,42922.92
720,720,Operations,75.96,32,117149.48
721,721,IT,66.49,23,31104.33
722,722,Finance,8.67,47,91048.34
723,723,Operations,29.33,44,20807.23
724,724,Marketing,32.11,34,51634.73
725,725,IT,79.8,18,131205.33
726,726,Marketing,90.94,1,192986.27
727,727,IT,8.01,34,121672.41
728,728,Finance,26.34,37,172728.2
729,729,Marketing,48.48,50,47762.4
730,730,IT,40.86,41,139263.36
731,731,Marketing,45.34,6,68408.55
732,732,Operations,10.54,21,199780.66
733,733,Marketing,78.85,3,172837.14
734,734,Operations,2.91,21,167451.66
735,735,Finance,89.61,26,163664.41
736,736,HR,68.61,21,52732.32
737,737,HR,80.73,15,84983.62
738,738,IT,60.89,45,35731.42
739,739,HR,67.73,48,138257.94
